Stage,Year,Player_ID,Transaction,Team,Position_Group,Money,Years/Original_Position,Original_Team/Destination_Position/Misc.
Pre-Staff Draft,2018,1,retired,11,K,0,0,0
Pre-Staff Draft,2018,2,retired,16,QB,0,0,0
Pre-Staff Draft,2018,3,retired,0,K,0,0,0
Pre-Staff Draft,2018,4,retired,31,P,0,0,0
Pre-Staff Draft,2018,5,retired,17,QB,0,0,0
Pre-Staff Draft,2018,6,retired,1,K,0,0,0
Pre-Staff Draft,2018,8,retired,23,TE,0,0,0
Pre-Staff Draft,2018,9,retired,22,OLB,0,0,0
Pre-Staff Draft,2018,10,retired,19,QB,0,0,0
Pre-Staff Draft,2018,13,retired,2,OLB,0,0,0
Pre-Staff Draft,2018,15,retired,4,S,0,0,0
Pre-Staff Draft,2018,16,retired,0,ILB,0,0,0
Pre-Staff Draft,2018,17,retired,0,WR,0,0,0
Pre-Staff Draft,2018,18,retired,29,CB,0,0,0
Pre-Staff Draft,2018,22,retired,9,C,0,0,0
Pre-Staff Draft,2018,23,retired,21,T,0,0,0
Pre-Staff Draft,2018,27,retired,2,TE,0,0,0
Pre-Staff Draft,2018,29,retired,15,G,0,0,0
Pre-Staff Draft,2018,32,retired,4,OLB,0,0,0
Pre-Staff Draft,2018,34,retired,27,QB,0,0,0
Pre-Staff Draft,2018,36,retired,25,K,0,0,0
Pre-Staff Draft,2018,37,retired,13,ILB,0,0,0
Pre-Staff Draft,2018,38,retired,7,C,0,0,0
Pre-Staff Draft,2018,41,retired,21,RB,0,0,0
Pre-Staff Draft,2018,42,retired,10,OLB,0,0,0
Pre-Staff Draft,2018,45,retired,29,TE,0,0,0
Pre-Staff Draft,2018,46,retired,25,DE,0,0,0
Pre-Staff Draft,2018,48,retired,14,TE,0,0,0
Pre-Staff Draft,2018,50,retired,13,OLB,0,0,0
Pre-Staff Draft,2018,53,retired,12,TE,0,0,0
Pre-Staff Draft,2018,54,retired,18,WR,0,0,0
Pre-Staff Draft,2018,58,retired,0,DE,0,0,0
Pre-Staff Draft,2018,62,retired,26,T,0,0,0
Pre-Staff Draft,2018,71,retired,18,C,0,0,0
Pre-Staff Draft,2018,75,retired,17,WR,0,0,0
Pre-Staff Draft,2018,86,retired,0,RB,0,0,0
Pre-Staff Draft,2018,87,retired,12,ILB,0,0,0
Pre-Staff Draft,2018,94,retired,0,CB,0,0,0
Pre-Staff Draft,2018,162,retired,9,G,0,0,0
Pre-Staff Draft,2018,171,retired,7,RB,0,0,0
Staff Draft,2018,557,changed primary position,1,DT,0,NT,RDT
Staff Draft,2018,419,changed primary position,2,OLB,0,SILB,WLB
Staff Draft,2018,684,changed primary position,2,DT,0,NT,LDT
Staff Draft,2018,833,changed primary position,2,OLB,0,SILB,WLB
Staff Draft,2018,1201,changed primary position,2,ILB,0,WILB,MLB
Staff Draft,2018,1356,changed primary position,2,OLB,0,WILB,WLB
Staff Draft,2018,1364,changed primary position,2,DT,0,NT,LDT
Staff Draft,2018,1830,changed primary position,2,DT,0,NT,LDT
Staff Draft,2018,2968,changed primary position,3,ILB,0,SILB,MLB
Staff Draft,2018,2981,changed primary position,3,ILB,0,SILB,MLB
Staff Draft,2018,458,changed primary position,4,ILB,0,MLB,SILB
Staff Draft,2018,645,changed primary position,4,DE,0,RDT,RDE
Staff Draft,2018,2263,changed primary position,4,ILB,0,MLB,WILB
Staff Draft,2018,2265,changed primary position,4,ILB,0,MLB,WILB
Staff Draft,2018,538,changed primary position,11,OLB,0,WILB,WLB
Staff Draft,2018,582,changed primary position,11,ILB,0,WILB,MLB
Staff Draft,2018,1774,changed primary position,11,DT,0,NT,LDT
Staff Draft,2018,2130,changed primary position,11,DT,0,NT,LDT
Staff Draft,2018,2973,changed primary position,11,OLB,0,SILB,SLB
Staff Draft,2018,247,changed primary position,13,DT,0,NT,LDT
Staff Draft,2018,601,changed primary position,13,DT,0,NT,RDT
Staff Draft,2018,1137,changed primary position,13,ILB,0,WILB,MLB
Staff Draft,2018,1370,changed primary position,13,OLB,0,WILB,WLB
Staff Draft,2018,2987,changed primary position,18,OLB,0,WILB,SLB
Staff Draft,2018,2200,changed primary position,23,DE,0,RDT,RDE
Staff Draft,2018,2257,changed primary position,23,ILB,0,MLB,WILB
Staff Draft,2018,2892,changed primary position,23,DE,0,LDT,LDE
Staff Draft,2018,1397,changed primary position,25,ILB,0,SILB,MLB
Staff Draft,2018,2260,changed primary position,31,ILB,0,MLB,SILB
Pre-Free Agency,2018,119,released,10,WR,0,0,0
Pre-Free Agency,2018,300,released,10,WR,0,0,0
FA Stage 1,2018,322,released,1,WR,0,0,0
FA Stage 1,2018,360,released,2,CB,0,0,0
FA Stage 1,2018,129,released,4,RB,0,0,0
FA Stage 1,2018,645,released,4,DE,0,0,0
FA Stage 1,2018,316,released,13,OLB,0,0,0
FA Stage 1,2018,562,released,13,T,0,0,0
FA Stage 1,2018,332,released,14,CB,0,0,0
FA Stage 1,2018,367,released,14,TE,0,0,0
FA Stage 1,2018,499,released,14,QB,0,0,0
FA Stage 1,2018,654,released,14,WR,0,0,0
FA Stage 1,2018,394,released,21,G,0,0,0
FA Stage 1,2018,416,released,21,QB,0,0,0
FA Stage 1,2018,455,released,21,OLB,0,0,0
FA Stage 1,2018,588,released,21,T,0,0,0
FA Stage 1,2018,25,released,22,QB,0,0,0
FA Stage 1,2018,193,released,22,ILB,0,0,0
FA Stage 1,2018,204,released,22,WR,0,0,0
FA Stage 1,2018,226,released,22,CB,0,0,0
FA Stage 1,2018,879,released,22,DE,0,0,0
FA Stage 1,2018,12,released,0,QB,0,0,0
FA Stage 1,2018,268,released,0,T,0,0,0
FA Stage 1,2018,821,released,0,DE,0,0,0
FA Stage 1,2018,492,released,0,C,0,0,0
FA Stage 1,2018,982,released,0,OLB,0,0,0
FA Stage 1,2018,1016,released,0,RB,0,0,0
FA Stage 1,2018,163,released,1,G,0,0,0
FA Stage 1,2018,26,released,1,QB,0,0,0
FA Stage 1,2018,164,released,1,C,0,0,0
FA Stage 1,2018,488,released,1,WR,0,0,0
FA Stage 1,2018,191,released,2,RB,0,0,0
FA Stage 1,2018,1132,released,2,TE,0,0,0
FA Stage 1,2018,215,released,2,TE,0,0,0
FA Stage 1,2018,422,released,3,T,0,0,0
FA Stage 1,2018,776,released,3,C,0,0,0
FA Stage 1,2018,614,released,3,T,0,0,0
FA Stage 1,2018,409,released,3,DE,0,0,0
FA Stage 1,2018,855,released,3,P,0,0,0
FA Stage 1,2018,629,released,3,S,0,0,0
FA Stage 1,2018,1052,released,3,G,0,0,0
FA Stage 1,2018,81,released,4,C,0,0,0
FA Stage 1,2018,280,released,4,DE,0,0,0
FA Stage 1,2018,213,released,4,S,0,0,0
FA Stage 1,2018,570,released,5,QB,0,0,0
FA Stage 1,2018,649,released,5,TE,0,0,0
FA Stage 1,2018,680,released,5,WR,0,0,0
FA Stage 1,2018,239,released,7,OLB,0,0,0
FA Stage 1,2018,598,released,8,G,0,0,0
FA Stage 1,2018,262,released,8,S,0,0,0
FA Stage 1,2018,1085,released,8,ILB,0,0,0
FA Stage 1,2018,955,released,8,TE,0,0,0
FA Stage 1,2018,960,released,8,CB,0,0,0
FA Stage 1,2018,1002,released,8,TE,0,0,0
FA Stage 1,2018,652,released,9,DT,0,0,0
FA Stage 1,2018,638,released,9,RB,0,0,0
FA Stage 1,2018,956,released,9,CB,0,0,0
FA Stage 1,2018,582,released,11,ILB,0,0,0
FA Stage 1,2018,984,released,11,T,0,0,0
FA Stage 1,2018,810,released,12,C,0,0,0
FA Stage 1,2018,211,released,12,S,0,0,0
FA Stage 1,2018,232,released,12,RB,0,0,0
FA Stage 1,2018,778,released,13,TE,0,0,0
FA Stage 1,2018,866,released,13,S,0,0,0
FA Stage 1,2018,346,released,14,C,0,0,0
FA Stage 1,2018,377,released,16,TE,0,0,0
FA Stage 1,2018,569,released,16,RB,0,0,0
FA Stage 1,2018,121,released,18,CB,0,0,0
FA Stage 1,2018,428,released,18,WR,0,0,0
FA Stage 1,2018,900,released,18,P,0,0,0
FA Stage 1,2018,181,released,20,CB,0,0,0
FA Stage 1,2018,526,released,20,CB,0,0,0
FA Stage 1,2018,324,released,21,C,0,0,0
FA Stage 1,2018,362,released,21,WR,0,0,0
FA Stage 1,2018,68,released,21,TE,0,0,0
FA Stage 1,2018,19,released,21,P,0,0,0
FA Stage 1,2018,952,released,21,CB,0,0,0
FA Stage 1,2018,610,released,22,TE,0,0,0
FA Stage 1,2018,1122,released,22,T,0,0,0
FA Stage 1,2018,309,released,22,T,0,0,0
FA Stage 1,2018,330,released,23,DE,0,0,0
FA Stage 1,2018,385,released,23,WR,0,0,0
FA Stage 1,2018,523,released,23,WR,0,0,0
FA Stage 1,2018,374,released,24,OLB,0,0,0
FA Stage 1,2018,138,released,24,DE,0,0,0
FA Stage 1,2018,59,released,24,P,0,0,0
FA Stage 1,2018,937,released,24,DE,0,0,0
FA Stage 1,2018,906,released,24,OLB,0,0,0
FA Stage 1,2018,981,released,24,G,0,0,0
FA Stage 1,2018,259,released,26,G,0,0,0
FA Stage 1,2018,568,released,27,DE,0,0,0
FA Stage 1,2018,381,released,27,DT,0,0,0
FA Stage 1,2018,296,released,28,DE,0,0,0
FA Stage 1,2018,468,released,28,WR,0,0,0
FA Stage 1,2018,100,released,31,T,0,0,0
FA Stage 1,2018,233,released,31,CB,0,0,0
FA Stage 1,2018,1696,received in trade,30,G,0,0,5
FA Stage 1,2018,1101,received in trade,5,DT,0,0,30
FA Stage 1,2018,307,designated as a franchise player,0,QB,0,0,0
FA Stage 1,2018,819,designated as a franchise player,1,T,0,0,0
FA Stage 1,2018,188,designated as a franchise player,2,WR,0,0,0
FA Stage 1,2018,820,designated as a franchise player,3,WR,0,0,0
FA Stage 1,2018,7,designated as a franchise player,4,DE,0,0,0
FA Stage 1,2018,281,designated as a franchise player,5,CB,0,0,0
FA Stage 1,2018,818,designated as a franchise player,7,G,0,0,0
FA Stage 1,2018,705,designated as a franchise player,8,OLB,0,0,0
FA Stage 1,2018,528,designated as a franchise player,9,DE,0,0,0
FA Stage 1,2018,613,designated as a franchise player,11,CB,0,0,0
FA Stage 1,2018,850,designated as a franchise player,12,WR,0,0,0
FA Stage 1,2018,830,designated as a franchise player,13,CB,0,0,0
FA Stage 1,2018,803,designated as a franchise player,14,WR,0,0,0
FA Stage 1,2018,592,designated as a franchise player,15,QB,0,0,0
FA Stage 1,2018,739,designated as a franchise player,16,WR,0,0,0
FA Stage 1,2018,706,designated as a franchise player,18,WR,0,0,0
FA Stage 1,2018,399,designated as a franchise player,19,CB,0,0,0
FA Stage 1,2018,814,designated as a franchise player,20,DE,0,0,0
FA Stage 1,2018,199,designated as a franchise player,21,RB,0,0,0
FA Stage 1,2018,536,designated as a franchise player,22,RB,0,0,0
FA Stage 1,2018,715,designated as a franchise player,23,S,0,0,0
FA Stage 1,2018,637,designated as a franchise player,24,DT,0,0,0
FA Stage 1,2018,786,designated as a franchise player,25,RB,0,0,0
FA Stage 1,2018,748,designated as a franchise player,26,DE,0,0,0
FA Stage 1,2018,757,designated as a franchise player,27,WR,0,0,0
FA Stage 1,2018,809,designated as a franchise player,28,T,0,0,0
FA Stage 1,2018,400,designated as a franchise player,29,QB,0,0,0
FA Stage 1,2018,734,designated as a franchise player,31,OLB,0,0,0
FA Stage 1,2018,1845,signed to a new contract,10,QB,128,2,10
FA Stage 1,2018,1150,signed to a new contract,10,WR,800,3,10
FA Stage 1,2018,2060,signed to a new contract,10,G,463,3,10
FA Stage 1,2018,2726,signed to a new contract,10,T,480,3,10
FA Stage 1,2018,2203,signed to a new contract,10,DT,274,2,10
FA Stage 1,2018,3038,signed to a new contract,10,OLB,128,2,10
FA Stage 1,2018,2326,signed to a new contract,10,C,128,2,10
FA Stage 1,2018,2316,signed to a new contract,10,S,372,3,10
FA Stage 1,2018,2784,signed to a new contract,10,P,760,3,10
FA Stage 1,2018,2617,signed to a new contract,10,C,58,1,10
FA Stage 1,2018,1093,signed a renegotiated contract,10,CB,3302,5,0
FA Stage 1,2018,20,signed a renegotiated contract,0,P,577,2,0
FA Stage 1,2018,1057,signed a renegotiated contract,0,WR,573,3,0
FA Stage 1,2018,65,signed a renegotiated contract,0,S,566,2,0
FA Stage 1,2018,991,signed a renegotiated contract,0,DT,448,4,0
FA Stage 1,2018,123,signed a renegotiated contract,1,QB,4127,2,0
FA Stage 1,2018,917,signed a renegotiated contract,1,OLB,1643,5,0
FA Stage 1,2018,1097,signed a renegotiated contract,1,T,1319,5,0
FA Stage 1,2018,995,signed a renegotiated contract,1,WR,1355,5,0
